,time.sampled,elapsed.time,std.ref
Guaymas-P1-55cm-trt-lam-x-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-55cm-trt-lam-x-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-1-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-1-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-1-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-1-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-2-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-2-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-2-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-2-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-3-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-3-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-3-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-3-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-x-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-x-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-x-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-chon-x-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-1-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-1-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-1-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-1-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-2-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-2-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-2-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-2-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-3-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-3-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-3-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-3-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-x-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-x-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-x-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-notrt-lam-x-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-1-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-1-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-1-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-1-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-2-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-2-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-2-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-2-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-3-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-3-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-3-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-3-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-x-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-x-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-x-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-chon-x-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-1-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-1-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-1-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-1-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-2-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-2-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-2-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-2-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-3-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-3-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-3-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-3-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-x-t0,9/29/15 17:10,0,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-x-t1,10/20/15 16:55,503.75,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-x-t2,11/10/15 16:30,1007.333333,stdbins-gpc2-110315
Guaymas-P1-5cm-trt-lam-x-t3,11/30/15 17:00,1487.833333,stdbins-gpc2-110315
Guaymas-P10-55cm-notrt-chon-1-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-1-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-1-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-1-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-2-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-2-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-2-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-2-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-3-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-3-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-3-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-3-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-x-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-x-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-x-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-chon-x-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-1-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-1-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-1-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-1-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-2-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-2-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-2-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-2-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-3-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-3-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-3-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-3-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-x-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-x-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-x-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-55cm-notrt-lam-x-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-1-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-1-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-1-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-2-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-2-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-2-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-3-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-3-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-3-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-x-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-x-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-chon-x-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-1-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-1-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-1-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-2-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-2-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-2-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-3-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-3-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-3-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-x-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-x-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-55cm-trt-lam-x-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-1-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-1-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-1-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-1-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-2-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-2-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-2-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-2-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-3-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-3-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-3-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-3-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-x-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-x-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-x-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-chon-x-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-1-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-1-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
